tx_type,response_time_us,retry_count
Payment,62,0
NewOrder,83,0
Payment,62,0
NewOrder,80,0
NewOrder,81,0
NewOrder,83,0
NewOrder,80,0
Payment,63,0
NewOrder,80,0
Payment,62,0
Payment,62,0
NewOrder,80,0
Payment,63,0
Payment,62,0
Payment,63,0
Payment,61,0
NewOrder,81,0
NewOrder,80,0
NewOrder,82,0
Payment,68,0
NewOrder,81,0
NewOrder,81,0
NewOrder,80,0
Payment,63,0
Payment,67,0
NewOrder,80,0
Payment,68,0
NewOrder,80,0
Payment,63,0
NewOrder,80,0
NewOrder,81,0
NewOrder,80,0
NewOrder,81,0
NewOrder,80,0
Payment,68,0
Payment,66,0
Payment,63,0
Payment,62,0
NewOrder,81,0
NewOrder,81,0
Payment,64,0
Payment,63,0
Payment,65,0
NewOrder,85,0
NewOrder,82,0
Payment,66,0
NewOrder,80,0
Payment,64,0
Payment,62,0
NewOrder,81,0
Payment,72,0
NewOrder,81,0
Payment,63,0
Payment,66,0
Payment,67,0
Payment,62,0
Payment,68,0
NewOrder,82,0
NewOrder,83,0
NewOrder,81,0
Payment,65,0
NewOrder,81,0
NewOrder,81,0
Payment,63,0
Payment,63,0
Payment,63,0
Payment,63,0
NewOrder,81,0
NewOrder,81,0
Payment,63,0
Payment,63,0
Payment,64,0
Payment,63,0
NewOrder,81,0
NewOrder,81,0
Payment,62,0
Payment,63,0
NewOrder,84,0
NewOrder,81,0
Payment,67,0
NewOrder,88,0
Payment,63,0
Payment,67,0
Payment,66,0
Payment,64,0
NewOrder,81,0
NewOrder,90,0
NewOrder,81,0
NewOrder,82,0
NewOrder,81,0
NewOrder,80,0
NewOrder,80,0
Payment,64,0
Payment,63,0
NewOrder,82,0
NewOrder,81,0
Payment,63,0
NewOrder,81,0
NewOrder,81,0
NewOrder,84,0
Payment,63,0
Payment,64,0
Payment,63,0
Payment,64,0
NewOrder,81,0
Payment,63,0
NewOrder,82,0
NewOrder,81,0
Payment,63,0
NewOrder,81,0
Payment,63,0
Payment,64,0
NewOrder,87,0
Payment,64,0
Payment,67,0
NewOrder,88,0
NewOrder,81,0
Payment,64,0
NewOrder,81,0
NewOrder,82,0
NewOrder,81,0
NewOrder,81,0
Payment,63,0
Payment,69,0
Payment,67,0
NewOrder,82,0
NewOrder,81,0
Payment,75,0
NewOrder,81,0
Payment,64,0
Payment,63,0
NewOrder,81,0
NewOrder,82,0
Payment,64,0
Payment,63,0
Payment,62,0
NewOrder,82,0
Payment,63,0
NewOrder,82,0
NewOrder,93,0
NewOrder,88,0
NewOrder,82,0
Payment,64,0
NewOrder,81,0
NewOrder,83,0
NewOrder,81,0
Payment,64,0
NewOrder,82,0
NewOrder,81,0
NewOrder,82,0
NewOrder,83,0
Payment,64,0
Payment,64,0
NewOrder,83,0
Payment,64,0
NewOrder,82,0
Payment,64,0
Payment,64,0
NewOrder,83,0
Payment,65,0
Payment,72,0
Payment,71,0
Payment,65,0
Payment,63,0
Payment,64,0
Payment,64,0
Payment,68,0
Payment,66,0
Payment,63,0
Payment,64,0
Payment,65,0
NewOrder,84,0
NewOrder,82,0
NewOrder,83,0
Payment,65,0
NewOrder,82,0
NewOrder,82,0
NewOrder,93,0
NewOrder,89,0
